# Timestep Metrics Log
# Format: step | avg_loss | avg_1-cos_sim
#======================================================================
Step 66000: loss=0.152033, 1-cos=0.061801
Step 66200: loss=0.162769, 1-cos=0.067668
Step 66400: loss=0.164995, 1-cos=0.069360
Step 66600: loss=0.177190, 1-cos=0.073158
Step 66800: loss=0.162818, 1-cos=0.068842
Step 67000: loss=0.184666, 1-cos=0.077469
Step 67200: loss=0.201674, 1-cos=0.086254
Step 67400: loss=0.178125, 1-cos=0.075717
Step 67600: loss=0.179831, 1-cos=0.074339
Step 67800: loss=0.185244, 1-cos=0.076177
Step 68000: loss=0.175143, 1-cos=0.075038
Step 68200: loss=0.175619, 1-cos=0.073653
Step 68400: loss=0.174650, 1-cos=0.072076
Step 68600: loss=0.160572, 1-cos=0.067095
Step 68800: loss=0.146404, 1-cos=0.060047
Step 69000: loss=0.165628, 1-cos=0.068539
Step 69200: loss=0.160977, 1-cos=0.067317
Step 69400: loss=0.175969, 1-cos=0.073257
Step 69600: loss=0.176993, 1-cos=0.074439
Step 69800: loss=0.163165, 1-cos=0.068698
Step 70000: loss=0.155795, 1-cos=0.065490
Step 70200: loss=0.171797, 1-cos=0.071854
Step 70400: loss=0.162392, 1-cos=0.067349
Step 70600: loss=0.182400, 1-cos=0.078561
Step 70800: loss=0.196700, 1-cos=0.080879
Step 71000: loss=0.198815, 1-cos=0.086014
Step 71200: loss=0.148623, 1-cos=0.061485
Step 71400: loss=0.167947, 1-cos=0.070873
Step 71600: loss=0.190131, 1-cos=0.078002
Step 71800: loss=0.176402, 1-cos=0.073166
Step 72000: loss=0.164848, 1-cos=0.069261
Step 72200: loss=0.158088, 1-cos=0.065050
Step 72400: loss=0.172035, 1-cos=0.071605
Step 72600: loss=0.165028, 1-cos=0.069762
Step 72800: loss=0.198334, 1-cos=0.082357
Step 73000: loss=0.174287, 1-cos=0.073757
Step 73200: loss=0.189619, 1-cos=0.082242
Step 73400: loss=0.187858, 1-cos=0.080210
Step 73600: loss=0.185283, 1-cos=0.078479
Step 73800: loss=0.158207, 1-cos=0.064996
Step 74000: loss=0.171303, 1-cos=0.070016
Step 74200: loss=0.170560, 1-cos=0.070576
Step 74400: loss=0.176886, 1-cos=0.074932
Step 74600: loss=0.189924, 1-cos=0.084603
Step 74800: loss=0.166091, 1-cos=0.068544
Step 75000: loss=0.168010, 1-cos=0.070914
Step 75200: loss=0.184376, 1-cos=0.078725
