eval_index,time,eval_type,cos_sim_mean,cos_sim_std,angle_mean_deg,angle_std_deg,vel_norm_mean,vel_norm_std,curv_mean_k,curv_std_k
38,0.39,midpoint,0.9999217987060547,9.157837666862179e-06,0.67423433,0.24307732,25.701923370361328,0.07638256251811981,1.3817342519760132,0.0911206603050232
39,0.4,start,0.9999169707298279,1.0082478183903731e-05,0.69382614,0.2526746,27.084545135498047,0.08614824712276459,1.4231020212173462,0.10243827104568481
40,0.41000000000000003,midpoint,0.9999239444732666,9.975423381547444e-06,0.6650282,0.23891236,28.513402938842773,0.09640118479728699,1.4687321186065674,0.10367313772439957
41,0.42,start,0.9999182224273682,1.2450172107492108e-05,0.6865334,0.25637883,29.97943878173828,0.10785574465990067,1.5120519399642944,0.11791470646858215
42,0.43,midpoint,0.9999252557754517,1.459805298509309e-05,0.6539579,0.25219625,31.488285064697266,0.11958074569702148,1.553934097290039,0.12154897302389145
43,0.44,start,0.9999169707298279,2.0329915059846826e-05,0.6826532,0.28098762,33.0357666015625,0.1327485591173172,1.6006146669387817,0.143728569149971
44,0.45,midpoint,0.9999241232872009,2.008588853641413e-05,0.64999354,0.27486342,34.6273193359375,0.14627087116241455,1.6434364318847656,0.14722658693790436
45,0.46,start,0.9999155402183533,2.303085057064891e-05,0.68111813,0.30122244,36.2589111328125,0.16165204346179962,1.692872166633606,0.17042848467826843
46,0.47000000000000003,midpoint,0.9999234676361084,1.6547037375858054e-05,0.6493337,0.28498206,37.93293762207031,0.17736047506332397,1.7337607145309448,0.1646285057067871
47,0.48,start,0.9999126195907593,1.695246646704618e-05,0.6885031,0.31509492,39.647891998291016,0.1947580873966217,1.7869373559951782,0.1868899017572403
48,0.49,midpoint,0.999920666217804,1.4260684110922739e-05,0.6552691,0.30279303,41.40721893310547,0.21211734414100647,1.829183578491211,0.18414542078971863
49,0.5,start,0.9999074339866638,1.7066406144294888e-05,0.7006064,0.34157202,43.20740509033203,0.23110806941986084,1.8857192993164062,0.2155255526304245
50,0.51,midpoint,0.9999170899391174,1.4194990399118979e-05,0.66431695,0.32173195,45.0548095703125,0.24991150200366974,1.9294027090072632,0.2072845846414566
51,0.52,start,0.9999018311500549,1.7980339180212468e-05,0.7150339,0.3655972,46.93709945678711,0.27060845494270325,1.9840409755706787,0.24524249136447906
52,0.53,midpoint,0.9999131560325623,1.5758305380586535e-05,0.67282563,0.34293827,48.86894607543945,0.29073166847229004,2.0276834964752197,0.23424099385738373
53,0.54,start,0.9998961091041565,2.150657746824436e-05,0.7270476,0.3922059,50.83994674682617,0.3125719428062439,2.090062379837036,0.2804352641105652
54,0.55,midpoint,0.9999105930328369,1.791814611351583e-05,0.678587,0.3559718,52.85455322265625,0.33340683579444885,2.1244242191314697,0.2589374780654907
55,0.56,start,0.9998961091041565,2.1338439182727598e-05,0.7283436,0.38914394,54.906639099121094,0.35599642992019653,2.1852810382843018,0.2978636920452118
56,0.5700000000000001,midpoint,0.9999136328697205,1.5014667951618321e-05,0.6733126,0.33791348,57.00001525878906,0.37779951095581055,2.213142156600952,0.25805121660232544
57,0.58,start,0.9999010562896729,1.6732403310015798e-05,0.72202057,0.35874352,59.13274002075195,0.40141022205352783,2.276423215866089,0.2815314531326294
58,0.59,midpoint,0.9999174475669861,1.3588389265350997e-05,0.66387993,0.31792295,61.307456970214844,0.42419472336769104,2.3027312755584717,0.24899564683437347
59,0.6,start,0.99990314245224,1.6765330656198785e-05,0.71651,0.35077086,63.514404296875,0.448611855506897,2.3633172512054443,0.2882867753505707
60,0.61,midpoint,0.9999201893806458,1.2267922102182638e-05,0.65586406,0.30614766,65.76315307617188,0.4718015789985657,2.3865132331848145,0.25397172570228577
61,0.62,start,0.9999075531959534,1.4151014511298854e-05,0.7068518,0.32853758,68.04650115966797,0.49629461765289307,2.4501380920410156,0.2801726460456848
62,0.63,midpoint,0.999923825263977,1.1135170097986702e-05,0.6481206,0.2826111,70.36935424804688,0.5192713737487793,2.4695746898651123,0.24025394022464752
63,0.64,start,0.9999107718467712,1.5536908904323354e-05,0.69965976,0.3106706,72.72245788574219,0.5432235598564148,2.5319066047668457,0.26800456643104553
64,0.65,midpoint,0.9999256134033203,1.4319621186587028e-05,0.6427201,0.27489403,75.1170883178711,0.5649150609970093,2.5527658462524414,0.23703135550022125
65,0.66,start,0.9999133944511414,1.8320748495170847e-05,0.69115615,0.30154762,77.53670501708984,0.5874707102775574,2.610870599746704,0.2669620215892792
66,0.67,midpoint,0.9999276995658875,1.3105845937388949e-05,0.63884515,0.25834137,80.0047378540039,0.6085521578788757,2.637603521347046,0.22982801496982574
67,0.68,start,0.9999179840087891,1.391469868394779e-05,0.68011564,0.2753802,82.49336242675781,0.6308483481407166,2.6895899772644043,0.2503356337547302
68,0.6900000000000001,midpoint,0.9999313354492188,9.457796295464505e-06,0.6278349,0.23881702,85.03193664550781,0.652310311794281,2.7165169715881348,0.2211013287305832
69,0.7000000000000001,start,0.9999210238456726,1.0520395335333887e-05,0.67072105,0.2613872,87.57958984375,0.6754798889160156,2.7609076499938965,0.24775774776935577
70,0.7100000000000001,midpoint,0.9999343752861023,8.727734893909656e-06,0.6171462,0.22285403,90.17912292480469,0.6979947686195374,2.786264657974243,0.21694184839725494
71,0.72,start,0.9999253749847412,1.175074157799827e-05,0.657227,0.24077778,92.79869079589844,0.7215798497200012,2.8404924869537354,0.2393588125705719
72,0.73,midpoint,0.999936044216156,9.569136636855546e-06,0.61309075,0.2099814,95.46833038330078,0.7444436550140381,2.8686397075653076,0.21337644755840302
73,0.74,start,0.9999281764030457,1.1318149518046994e-05,0.64868027,0.22595319,98.13733673095703,0.7689048051834106,2.903033971786499,0.23447376489639282
74,0.75,midpoint,0.9999371767044067,8.606950359535404e-06,0.61015123,0.19954707,100.85911560058594,0.7926953434944153,2.935706377029419,0.21003173291683197
75,0.76,start,0.9999281764030457,9.812948519538622e-06,0.65070206,0.21831548,103.58219146728516,0.8178041577339172,2.977893590927124,0.23312924802303314
76,0.77,midpoint,0.9999366998672485,7.082135653035948e-06,0.61546123,0.19149046,106.36766052246094,0.8424192667007446,3.019749402999878,0.20806044340133667
77,0.78,start,0.999927282333374,7.975881089805625e-06,0.65885156,0.20853697,109.13987731933594,0.868507444858551,3.0537588596343994,0.2306920737028122
78,0.79,midpoint,0.9999339580535889,6.610150194319431e-06,0.6312303,0.18761595,111.9781723022461,0.8937345743179321,3.103339433670044,0.21207305788993835
79,0.8,start,0.9999234080314636,9.471422345086467e-06,0.67571425,0.21601945,114.79441833496094,0.9204296469688416,3.136282444000244,0.2602360248565674
80,0.81,midpoint,0.9999303221702576,5.414781298895832e-06,0.65090364,0.18451288,117.68004608154297,0.9464020133018494,3.188560962677002,0.21505595743656158
81,0.8200000000000001,start,0.9999182224273682,6.112542905611917e-06,0.7032511,0.20543413,120.54594421386719,0.9736956357955933,3.2357144355773926,0.24053263664245605
82,0.8300000000000001,midpoint,0.9999240636825562,5.141923338669585e-06,0.68107456,0.18566547,123.47042083740234,1.0008502006530762,3.2804925441741943,0.21868237853050232
83,0.84,start,0.9999092221260071,6.877054147480521e-06,0.7435561,0.20826852,126.37462615966797,1.0298022031784058,3.346022605895996,0.24434523284435272
84,0.85,midpoint,0.999912679195404,6.744814527337439e-06,0.73185474,0.19272773,129.3612518310547,1.0583547353744507,3.4221489429473877,0.22646211087703705
85,0.86,start,0.9998961687088013,8.382154192076996e-06,0.79719555,0.21390456,132.27767944335938,1.0893168449401855,3.4596455097198486,0.25838688015937805
86,0.87,midpoint,0.999896764755249,7.647687198186759e-06,0.79831725,0.20203167,135.2843780517578,1.1198961734771729,3.5579333305358887,0.2426607608795166
87,0.88,start,0.9998718500137329,1.0061079592560418e-05,0.88701034,0.23294982,138.2081756591797,1.1527520418167114,3.635241746902466,0.28906214237213135
88,0.89,midpoint,0.9998667240142822,9.483754183747806e-06,0.90767884,0.22543077,141.22723388671875,1.1842360496520996,3.7679824829101562,0.27499255537986755
89,0.9,start,0.999828577041626,1.2863700248999521e-05,1.026975,0.26611742,144.10800170898438,1.2175400257110596,3.8825693130493164,0.34992948174476624
90,0.91,midpoint,0.9998160004615784,1.2521053577074781e-05,1.0682207,0.25976998,147.06585693359375,1.249782681465149,4.043444633483887,0.3392144739627838
91,0.92,start,0.9997548460960388,1.655531013966538e-05,1.230631,0.30900654,149.81153869628906,1.2841325998306274,4.241238594055176,0.45148736238479614
92,0.93,midpoint,0.9997146725654602,1.6783649698481895e-05,1.3329139,0.31106052,152.6891326904297,1.3179092407226562,4.577408790588379,0.44451674818992615
93,0.9400000000000001,start,0.9996007084846497,2.3441447410732508e-05,1.5753008,0.37466547,155.16929626464844,1.359805941581726,4.937869071960449,0.6196660399436951
94,0.9500000000000001,midpoint,0.9994956851005554,2.5640496460255235e-05,1.7763511,0.39520156,157.716064453125,1.4059691429138184,5.5080037117004395,0.6423391699790955
95,0.96,start,0.9991486668586731,4.24303361796774e-05,2.3045478,0.52865064,159.5333709716797,1.4697494506835938,6.650854587554932,1.017590045928955
96,0.97,midpoint,0.9986545443534851,5.78428698645439e-05,2.907624,0.61833715,161.01441955566406,1.5471527576446533,8.264363288879395,1.2071985006332397
97,0.98,start,0.9967441558837891,0.00014773235307075083,4.5196123,0.9821461,160.42376708984375,1.6656596660614014,12.613677024841309,2.14469313621521
98,0.99,midpoint,0.9899861812591553,0.0005492914351634681,7.9442673,1.6636981,157.02757263183594,1.8599544763565063,22.056407928466797,3.5740625858306885
